especie,porte,idade_categoria,temperatura,umidade,atividade_pct,nivel_risco
gato,unico,adulto,30.67,31.56,86.16,normal
cao,pequeno,filhote,29.02,52.16,8.01,critico
ave,unico,adulto,37.1,60.54,72.76,normal
gato,unico,filhote,32.84,58.73,54.07,normal
cao,medio,filhote,30.14,46.23,45.57,normal
ave,unico,filhote,33.15,70.24,95.83,normal
cao,medio,filhote,25.48,28.32,62.54,atencao
cao,pequeno,adulto,26.65,49.77,89.58,normal
gato,unico,adulto,26.46,87.97,19.53,critico
gato,unico,idoso,26.46,55.94,13.85,atencao
ave,unico,adulto,39.33,72.38,76.06,atencao
gato,unico,adulto,20.76,55.77,97.81,normal
ave,unico,adulto,25.98,59.41,83.61,normal
ave,unico,filhote,35.69,54.94,53.19,normal
gato,unico,adulto,20.59,53.19,53.5,normal
cao,medio,adulto,35.51,30.77,83.43,atencao
cao,pequeno,adulto,29.15,57.99,87.86,normal
cao,medio,adulto,32.04,68.44,65.2,normal
ave,unico,idoso,31.86,54.58,26.24,atencao
gato,unico,adulto,28.02,41.08,93.31,normal
gato,unico,adulto,28.16,71.42,65.5,atencao
gato,unico,adulto,29.84,32.66,34.62,normal
cao,grande,idoso,32.8,53.95,46.8,normal
gato,unico,idoso,29.27,53.29,58.95,normal
cao,grande,adulto,19.43,37.87,80.31,normal
ave,unico,adulto,41.65,44.38,48.04,atencao
cao,grande,filhote,23.88,56.5,71.98,atencao
cao,medio,filhote,29.02,31.05,33.82,normal
gato,unico,idoso,25.04,35.28,97.97,normal
cao,pequeno,adulto,13.35,65.68,47.95,critico
cao,pequeno,adulto,28.28,61.58,56.22,normal
cao,grande,adulto,22.52,22.04,45.14,atencao
gato,unico,adulto,21.41,36.7,27.52,normal
cao,grande,adulto,34.6,60.37,97.58,normal
ave,unico,adulto,31.16,49.74,86.89,normal
gato,unico,adulto,24.57,86.1,16.74,critico
cao,pequeno,filhote,31.66,45.43,54.38,normal
cao,grande,adulto,24.54,69.01,37.76,normal
gato,unico,adulto,32.58,61.07,21.5,normal
gato,unico,adulto,33.81,40.85,23.38,normal
gato,unico,idoso,30.92,18.07,15.34,critico
gato,unico,filhote,22.68,52.74,59.28,normal
cao,grande,adulto,22.16,54.96,45.52,normal
ave,unico,idoso,31.86,45.07,18.13,critico
cao,medio,adulto,24.6,25.73,46.14,atencao
cao,pequeno,adulto,25.46,37.63,51.03,normal
gato,unico,idoso,27.56,76.91,16.03,atencao
cao,grande,adulto,24.71,16.9,67.19,atencao
gato,unico,filhote,30.16,64.97,18.95,normal
cao,grande,idoso,27.79,49.01,75.72,normal
ave,unico,adulto,32.83,64.05,77.78,normal
cao,pequeno,idoso,22.62,60.19,38.11,normal
cao,pequeno,adulto,30.48,26.44,34.45,atencao
ave,unico,adulto,27.75,73.3,46.41,normal
gato,unico,adulto,27.95,53.17,9.9,atencao
cao,pequeno,filhote,29.35,79.37,95.22,atencao
cao,medio,adulto,18.31,35.65,67.82,critico
gato,unico,adulto,22.59,41.15,33.59,normal
gato,unico,adulto,22.56,63.03,39.29,normal
cao,medio,adulto,33.91,68.8,5.71,critico
gato,unico,filhote,22.75,70.22,94.97,atencao
ave,unico,adulto,37.52,51.81,82.42,normal
ave,unico,idoso,32.87,52.67,99.32,normal
cao,pequeno,filhote,21.45,41.59,66.12,normal
cao,pequeno,idoso,27.78,53.02,82.47,normal
cao,pequeno,adulto,29.35,54.01,29.01,normal
ave,unico,adulto,30.27,48.12,52.25,normal
cao,medio,adulto,16.76,33.75,61.46,atencao
cao,medio,adulto,33.81,31.6,46.86,normal
gato,unico,adulto,22.91,39.53,92.22,normal
cao,grande,idoso,27.09,48.85,83.1,normal
cao,medio,filhote,39.5,58.85,20.82,critico
gato,unico,adulto,29.86,67.41,46.94,normal
ave,unico,adulto,34.91,56.65,78.84,normal
ave,unico,adulto,35.68,41.59,77.03,normal
cao,pequeno,idoso,24.02,55.78,62.47,normal
gato,unico,filhote,30.26,37.2,69.23,normal
gato,unico,idoso,24.36,62.0,94.1,normal
cao,grande,idoso,33.83,60.06,82.62,normal
cao,grande,idoso,23.87,44.42,62.28,normal
cao,medio,adulto,31.6,66.6,12.84,atencao
cao,grande,adulto,33.84,57.82,70.81,normal
cao,medio,filhote,23.67,34.89,69.54,normal
ave,unico,adulto,34.12,28.55,79.03,critico
cao,medio,adulto,28.49,67.17,54.05,normal
cao,medio,adulto,20.99,30.77,87.01,normal
gato,unico,filhote,27.29,59.36,1.38,critico
gato,unico,adulto,24.83,31.2,96.73,normal
cao,medio,filhote,29.64,64.73,48.15,atencao
cao,medio,adulto,29.17,17.88,47.17,atencao
gato,unico,idoso,28.42,53.39,59.34,normal
gato,unico,idoso,25.22,64.04,45.63,normal
gato,unico,idoso,26.47,56.06,62.37,normal
gato,unico,idoso,25.18,47.81,83.07,normal
cao,medio,adulto,24.17,35.69,48.49,normal
gato,unico,adulto,31.89,33.56,99.29,normal
ave,unico,adulto,32.57,74.47,96.03,normal
gato,unico,adulto,26.34,37.94,29.02,normal
cao,pequeno,adulto,23.6,58.41,45.47,normal
gato,unico,idoso,25.11,48.26,92.85,normal
cao,grande,filhote,23.54,33.17,33.65,normal
cao,pequeno,idoso,32.66,55.02,48.69,normal
gato,unico,adulto,22.48,41.77,24.76,normal
gato,unico,adulto,33.18,15.1,33.06,atencao
cao,pequeno,filhote,29.58,46.98,57.82,normal
ave,unico,adulto,37.38,71.34,94.1,normal
cao,medio,adulto,11.49,86.36,39.3,critico
gato,unico,adulto,22.58,43.68,51.55,normal
cao,medio,filhote,31.72,37.08,81.29,normal
gato,unico,adulto,27.44,41.52,56.89,normal
gato,unico,adulto,24.2,53.84,51.88,normal
gato,unico,filhote,23.01,36.96,62.67,normal
cao,medio,adulto,15.23,81.0,19.88,atencao
cao,grande,adulto,33.97,62.84,67.5,normal
cao,pequeno,adulto,29.86,21.16,67.04,atencao
gato,unico,idoso,32.27,35.81,38.56,normal
gato,unico,idoso,30.33,74.35,11.34,atencao
cao,pequeno,adulto,21.78,69.22,41.1,normal
ave,unico,adulto,25.94,60.82,83.03,normal
gato,unico,adulto,20.45,56.35,60.24,normal
cao,pequeno,idoso,40.79,59.84,82.22,atencao
gato,unico,adulto,27.86,39.85,51.0,normal
cao,grande,adulto,31.9,31.27,83.65,normal
cao,medio,adulto,23.6,35.77,11.74,atencao
gato,unico,idoso,21.37,50.8,35.62,normal
gato,unico,adulto,33.85,52.98,26.72,normal
cao,medio,adulto,30.33,65.91,80.89,normal
cao,pequeno,adulto,21.15,65.84,84.54,normal
ave,unico,adulto,27.22,41.81,71.23,normal
gato,unico,adulto,10.42,48.67,55.98,critico
cao,grande,adulto,32.61,38.85,53.57,normal
cao,pequeno,adulto,17.88,60.48,83.61,atencao
gato,unico,adulto,23.86,83.99,25.08,atencao
ave,unico,adulto,38.07,63.94,69.55,normal
cao,grande,filhote,36.26,43.6,47.04,atencao
gato,unico,adulto,13.28,68.85,62.79,critico
cao,medio,adulto,30.72,32.74,4.18,atencao
cao,pequeno,adulto,21.75,54.51,95.39,normal
cao,pequeno,adulto,29.93,33.07,51.6,normal
cao,pequeno,adulto,28.26,46.13,8.34,critico
cao,pequeno,adulto,32.22,54.47,3.73,critico
gato,unico,adulto,14.81,47.76,78.75,critico
cao,pequeno,adulto,27.97,51.51,14.17,atencao
cao,pequeno,filhote,23.89,42.79,68.68,normal
gato,unico,idoso,21.4,63.85,30.52,normal
cao,medio,adulto,23.3,83.19,66.78,atencao
ave,unico,filhote,28.8,57.57,20.84,critico
cao,grande,adulto,16.57,63.46,28.77,atencao
cao,grande,adulto,26.97,45.18,48.74,normal
cao,grande,adulto,24.29,33.65,48.61,normal
cao,pequeno,adulto,20.65,61.24,54.87,normal
gato,unico,adulto,26.21,72.2,85.8,atencao
gato,unico,adulto,27.56,73.56,24.15,normal
cao,grande,adulto,19.58,40.05,88.32,atencao
cao,pequeno,idoso,27.3,50.48,51.19,normal
gato,unico,adulto,28.02,43.01,18.34,normal
gato,unico,filhote,24.29,33.22,98.22,normal
gato,unico,adulto,33.52,45.81,76.91,normal
cao,medio,adulto,25.19,56.84,85.41,normal
ave,unico,adulto,39.4,53.38,29.29,atencao
cao,grande,filhote,26.92,59.53,99.83,normal
ave,unico,adulto,27.68,56.09,63.01,normal
cao,pequeno,adulto,24.57,17.72,71.71,atencao
cao,grande,filhote,23.96,43.45,7.23,critico
cao,medio,adulto,26.26,36.41,37.82,normal
cao,medio,filhote,26.46,58.75,92.8,normal
gato,unico,adulto,21.18,86.7,83.42,critico
gato,unico,adulto,20.73,36.38,8.36,atencao
gato,unico,adulto,21.08,39.4,85.56,normal
gato,unico,adulto,33.28,42.18,37.48,normal
cao,grande,adulto,24.2,41.11,27.69,normal
cao,grande,adulto,33.9,38.55,56.5,atencao
cao,grande,filhote,21.25,62.17,81.02,normal
cao,medio,adulto,34.2,61.26,48.53,normal
ave,unico,adulto,28.47,64.42,58.67,normal
ave,unico,idoso,32.79,42.81,44.82,normal
gato,unico,adulto,27.5,19.07,91.86,atencao
cao,medio,idoso,25.9,51.7,32.98,normal
gato,unico,filhote,26.12,61.3,83.99,normal
gato,unico,idoso,23.72,40.69,84.95,normal
cao,grande,adulto,15.45,37.73,28.79,atencao
gato,unico,adulto,28.77,41.49,38.78,normal
ave,unico,idoso,30.0,62.34,38.89,critico
cao,pequeno,adulto,31.39,20.02,15.92,atencao
gato,unico,filhote,34.36,40.35,34.82,atencao
gato,unico,idoso,24.58,63.97,62.73,normal
gato,unico,filhote,29.78,44.78,51.22,normal
cao,pequeno,adulto,21.88,36.85,22.41,atencao
gato,unico,adulto,28.19,25.46,31.44,atencao
gato,unico,adulto,41.88,43.79,43.67,critico
cao,pequeno,adulto,24.68,34.88,33.34,normal
ave,unico,adulto,34.07,70.63,86.38,normal
cao,pequeno,idoso,22.92,51.55,36.87,normal
gato,unico,adulto,20.63,56.26,60.49,normal
ave,unico,adulto,26.15,41.22,99.33,normal
cao,medio,adulto,20.45,47.78,62.85,normal
cao,grande,filhote,22.62,77.12,75.96,atencao
cao,grande,idoso,28.49,62.45,49.84,normal
cao,grande,idoso,27.09,54.06,58.44,normal
ave,unico,filhote,31.14,52.45,74.37,atencao
cao,medio,filhote,31.97,39.85,95.37,normal
gato,unico,idoso,29.25,21.9,0.59,critico
gato,unico,adulto,28.44,50.94,36.55,atencao
gato,unico,filhote,26.65,49.74,1.15,critico
gato,unico,adulto,29.13,61.24,82.27,normal
ave,unico,adulto,33.43,57.91,20.92,atencao
cao,medio,adulto,24.32,33.73,9.64,critico
cao,grande,adulto,22.03,36.07,8.9,critico
cao,grande,filhote,33.16,59.04,29.79,normal
ave,unico,idoso,39.04,50.83,86.39,atencao
cao,grande,adulto,23.39,57.69,42.5,normal
cao,pequeno,adulto,18.31,56.09,43.83,atencao
gato,unico,idoso,28.79,40.22,27.69,normal
cao,medio,idoso,30.07,18.92,53.5,critico
gato,unico,adulto,26.7,67.15,43.22,normal
gato,unico,adulto,26.51,30.55,21.94,normal
ave,unico,adulto,28.62,92.41,85.53,critico
cao,medio,adulto,30.09,58.97,61.94,normal
ave,unico,idoso,39.64,71.34,44.14,atencao
cao,pequeno,adulto,33.36,53.08,67.29,normal
cao,pequeno,adulto,36.09,51.87,87.99,atencao
gato,unico,adulto,21.78,62.01,88.36,normal
gato,unico,adulto,22.11,64.06,99.27,normal
cao,grande,filhote,30.39,59.68,99.61,normal
cao,medio,adulto,29.08,42.32,22.56,atencao
cao,medio,adulto,29.22,74.44,25.08,atencao
ave,unico,filhote,22.15,70.12,60.34,atencao
gato,unico,idoso,22.57,48.04,21.14,normal
cao,pequeno,filhote,29.85,28.73,68.7,atencao
gato,unico,idoso,25.13,37.58,25.42,normal
ave,unico,idoso,35.95,69.95,79.4,normal
ave,unico,filhote,27.28,54.59,36.39,atencao
gato,unico,idoso,30.33,37.02,5.88,atencao
ave,unico,filhote,34.52,53.23,56.15,normal
ave,unico,filhote,26.2,40.27,93.79,atencao
ave,unico,adulto,36.53,71.46,70.95,normal
ave,unico,idoso,35.72,54.05,80.37,normal
cao,grande,adulto,11.94,39.61,32.12,critico
ave,unico,idoso,29.8,45.5,26.65,atencao
ave,unico,adulto,24.88,54.17,40.7,atencao
ave,unico,adulto,25.92,71.2,65.15,atencao
cao,medio,adulto,24.8,49.06,48.87,normal
ave,unico,idoso,31.87,68.2,76.02,normal
ave,unico,adulto,34.73,52.76,83.0,normal
ave,unico,adulto,34.33,44.18,72.22,normal
gato,unico,adulto,23.59,62.16,51.2,normal
cao,grande,adulto,34.92,33.7,83.53,normal
cao,pequeno,adulto,30.11,60.7,14.61,atencao
cao,grande,idoso,27.4,19.5,43.26,critico
gato,unico,adulto,39.76,50.94,38.99,critico
ave,unico,adulto,29.17,49.72,85.15,normal
ave,unico,idoso,33.81,85.65,75.62,critico
ave,unico,filhote,32.53,49.58,34.78,atencao
cao,pequeno,adulto,32.3,31.66,62.36,normal
cao,pequeno,adulto,36.2,53.94,73.97,atencao
cao,grande,adulto,22.31,69.08,65.86,normal
cao,medio,adulto,22.04,65.75,30.6,normal
cao,pequeno,adulto,33.62,69.86,77.53,normal
gato,unico,adulto,30.79,43.49,95.03,normal
ave,unico,adulto,32.42,65.63,95.07,normal
cao,grande,adulto,34.63,63.33,47.73,normal
cao,pequeno,adulto,34.5,55.12,94.8,normal
gato,unico,idoso,14.07,47.02,94.62,critico
gato,unico,adulto,23.51,34.82,10.85,atencao
ave,unico,idoso,37.58,53.87,44.83,normal
cao,grande,adulto,25.09,50.24,37.14,normal
gato,unico,filhote,28.88,21.61,7.23,atencao
gato,unico,filhote,33.97,36.91,90.39,atencao
cao,pequeno,adulto,26.22,79.21,71.23,atencao
cao,pequeno,adulto,26.86,70.92,86.03,atencao
ave,unico,adulto,38.17,62.71,97.05,normal
cao,grande,adulto,22.27,73.94,64.39,atencao
cao,grande,adulto,36.2,43.52,34.51,atencao
cao,medio,adulto,18.38,31.52,71.5,atencao
cao,grande,adulto,30.47,38.6,28.15,normal
gato,unico,adulto,25.09,33.94,0.58,critico
cao,medio,adulto,23.81,87.7,30.95,critico
ave,unico,filhote,19.76,47.04,51.3,critico
gato,unico,adulto,32.3,52.33,88.94,normal
cao,pequeno,idoso,25.86,53.89,66.38,normal
cao,pequeno,adulto,24.79,48.8,62.69,normal
ave,unico,adulto,27.81,51.03,86.44,normal
cao,grande,adulto,33.74,44.39,14.6,atencao
cao,pequeno,adulto,22.93,57.14,49.23,normal
gato,unico,adulto,33.83,43.03,48.5,normal
gato,unico,filhote,28.23,60.26,11.41,atencao
ave,unico,adulto,30.92,74.85,35.68,normal
cao,pequeno,adulto,33.43,35.97,83.94,normal
ave,unico,filhote,33.4,52.79,92.58,normal
gato,unico,filhote,21.2,40.71,3.33,critico
ave,unico,adulto,17.2,62.54,59.76,critico
ave,unico,adulto,25.76,60.98,93.66,normal
ave,unico,idoso,30.61,49.06,17.96,critico
ave,unico,adulto,25.68,68.72,88.71,normal
ave,unico,filhote,33.05,53.13,88.22,normal
gato,unico,adulto,27.77,63.04,68.67,normal
cao,pequeno,adulto,31.77,53.94,56.06,normal
cao,pequeno,adulto,34.37,51.64,19.08,atencao
cao,medio,adulto,23.31,55.03,18.57,atencao
cao,medio,idoso,23.48,35.03,72.07,normal
ave,unico,filhote,35.14,58.2,54.52,normal
cao,grande,idoso,29.62,28.22,30.28,atencao
gato,unico,filhote,22.75,58.24,37.75,normal
ave,unico,idoso,22.02,54.46,71.28,atencao
ave,unico,idoso,31.8,86.48,26.96,critico
ave,unico,adulto,31.64,25.93,21.07,atencao
cao,medio,idoso,28.44,52.24,91.39,normal
cao,grande,idoso,28.24,21.7,94.18,atencao
gato,unico,adulto,30.89,62.89,91.73,normal
ave,unico,adulto,32.35,55.79,56.48,normal
cao,pequeno,adulto,28.84,48.17,58.87,normal
cao,pequeno,idoso,33.07,66.46,85.63,normal
gato,unico,idoso,30.06,56.14,31.32,normal
cao,medio,filhote,21.88,56.48,24.63,atencao
ave,unico,filhote,26.61,70.23,46.54,normal
ave,unico,adulto,29.0,63.53,46.04,normal
cao,grande,adulto,36.93,46.43,17.34,atencao
gato,unico,adulto,25.82,30.96,43.51,normal
cao,medio,adulto,22.66,33.94,9.57,critico
cao,pequeno,filhote,28.77,57.77,51.67,normal
cao,pequeno,idoso,26.14,41.06,13.48,atencao
ave,unico,adulto,27.51,67.91,79.04,atencao
ave,unico,idoso,32.56,56.76,95.44,normal
cao,pequeno,filhote,14.06,54.34,75.11,critico
cao,medio,adulto,32.66,11.2,90.57,critico
gato,unico,adulto,31.63,38.99,48.94,normal
gato,unico,adulto,25.74,69.13,6.81,atencao
gato,unico,filhote,36.47,60.56,40.1,atencao
gato,unico,adulto,30.24,44.88,59.36,normal
ave,unico,adulto,25.95,46.34,97.22,normal
gato,unico,idoso,31.64,55.18,11.29,atencao
cao,pequeno,adulto,36.21,50.78,99.74,atencao
cao,grande,adulto,22.03,57.02,54.7,normal
cao,grande,idoso,22.82,38.4,96.42,normal
ave,unico,adulto,17.17,44.46,61.59,critico
cao,grande,adulto,25.32,42.11,79.82,normal
gato,unico,adulto,12.09,44.31,65.47,critico
ave,unico,adulto,33.06,45.65,65.66,normal
gato,unico,adulto,27.75,52.81,32.86,normal
gato,unico,adulto,19.14,40.18,55.21,normal
cao,medio,adulto,36.69,40.45,77.12,atencao
ave,unico,idoso,32.8,66.31,84.41,normal
cao,pequeno,adulto,38.65,47.62,48.8,atencao
cao,grande,adulto,33.68,32.44,20.41,atencao
cao,grande,idoso,23.46,43.85,58.74,normal
ave,unico,adulto,37.71,48.49,40.94,normal
cao,grande,idoso,25.19,36.56,38.49,normal
ave,unico,adulto,33.03,42.13,20.46,atencao
gato,unico,idoso,29.55,45.3,27.97,normal
cao,grande,filhote,16.36,39.67,12.16,critico
cao,grande,filhote,32.11,52.62,92.28,normal
cao,medio,adulto,36.88,62.34,70.87,atencao
cao,grande,adulto,24.44,40.23,49.56,normal
ave,unico,adulto,21.34,93.95,60.01,critico
gato,unico,adulto,17.78,53.52,51.25,normal
cao,pequeno,adulto,37.49,37.09,79.23,atencao
gato,unico,adulto,30.82,58.6,64.21,normal
cao,medio,adulto,20.22,44.42,70.36,normal
ave,unico,adulto,30.42,70.22,55.07,normal
cao,grande,filhote,24.87,42.04,52.9,normal
gato,unico,adulto,27.8,58.28,71.32,normal
cao,grande,idoso,31.42,63.12,87.02,normal
cao,medio,adulto,20.28,59.44,13.13,atencao
cao,grande,adulto,14.4,31.97,42.33,critico
gato,unico,adulto,32.56,40.25,7.21,atencao
cao,medio,adulto,22.07,64.36,62.5,normal
cao,grande,adulto,30.12,39.56,81.85,normal
ave,unico,adulto,35.64,50.94,61.69,normal
cao,medio,idoso,23.8,66.2,23.16,atencao
gato,unico,adulto,33.08,42.14,81.46,normal
ave,unico,adulto,35.72,27.28,56.36,atencao
cao,medio,adulto,20.82,37.3,97.39,normal
cao,pequeno,adulto,26.42,55.28,79.46,normal
cao,medio,adulto,25.5,35.89,40.49,normal
cao,pequeno,adulto,24.7,55.44,54.87,normal
gato,unico,adulto,20.1,50.94,93.33,normal
gato,unico,adulto,31.37,63.01,3.98,critico
cao,medio,adulto,24.86,60.61,1.43,critico
gato,unico,idoso,28.88,54.81,19.75,normal
cao,grande,filhote,31.17,73.2,37.11,atencao
cao,grande,adulto,35.25,82.13,90.66,atencao
gato,unico,adulto,19.63,64.85,81.73,atencao
cao,medio,filhote,24.61,64.0,36.29,normal
cao,medio,adulto,32.8,43.13,29.03,normal
cao,grande,adulto,30.04,39.25,43.27,normal
cao,grande,adulto,24.59,82.04,89.61,atencao
cao,pequeno,filhote,22.88,65.38,17.57,atencao
ave,unico,adulto,34.27,66.31,87.78,normal
cao,grande,adulto,34.19,42.52,89.39,normal
cao,medio,filhote,22.8,56.97,81.79,normal
cao,pequeno,idoso,29.77,41.58,91.04,normal
gato,unico,idoso,37.04,62.23,96.66,critico
gato,unico,adulto,23.05,33.53,0.97,critico
gato,unico,filhote,30.81,82.49,33.23,critico
cao,grande,adulto,30.81,50.44,70.32,normal
gato,unico,adulto,26.45,14.91,94.26,critico
gato,unico,idoso,32.16,30.95,72.91,atencao
cao,pequeno,adulto,30.46,44.52,23.19,normal
cao,pequeno,filhote,30.37,36.83,18.96,atencao
cao,medio,adulto,33.3,16.06,51.23,atencao
cao,pequeno,filhote,32.12,40.92,78.48,normal
cao,grande,adulto,29.44,64.54,34.92,normal
gato,unico,adulto,33.69,53.31,99.62,normal
gato,unico,adulto,32.76,38.86,19.77,normal
cao,grande,idoso,24.38,50.94,41.52,normal
cao,grande,adulto,22.51,48.5,27.5,normal
gato,unico,idoso,34.24,67.8,50.32,atencao
cao,medio,adulto,27.11,48.05,90.19,normal
gato,unico,filhote,34.01,47.35,82.3,normal
cao,grande,adulto,22.94,62.81,73.66,normal
gato,unico,filhote,26.04,48.57,8.9,atencao
cao,medio,adulto,31.28,24.91,80.98,atencao
cao,pequeno,adulto,24.67,21.53,94.05,normal
gato,unico,adulto,24.83,32.19,32.36,normal
gato,unico,adulto,19.31,34.22,62.07,atencao
cao,grande,adulto,27.69,41.26,86.67,normal
cao,pequeno,idoso,30.72,57.92,91.26,normal
cao,medio,adulto,30.84,39.27,77.92,normal
cao,medio,idoso,25.05,41.23,34.56,normal
gato,unico,adulto,30.42,58.44,34.93,normal
ave,unico,idoso,34.97,69.93,47.53,normal
gato,unico,adulto,23.26,60.01,38.33,normal
ave,unico,idoso,33.48,45.04,67.78,normal
gato,unico,idoso,29.85,56.34,15.47,atencao
cao,medio,filhote,32.31,59.29,23.62,atencao
gato,unico,filhote,21.43,51.19,20.75,normal
cao,grande,adulto,32.12,42.83,67.18,normal
cao,pequeno,filhote,24.69,59.61,91.99,normal
cao,grande,filhote,26.21,62.34,48.26,normal
cao,pequeno,adulto,28.02,64.35,49.44,normal
cao,pequeno,adulto,34.31,34.88,26.37,normal
cao,grande,filhote,32.65,35.33,99.43,normal
gato,unico,adulto,33.32,18.5,5.68,atencao
ave,unico,adulto,27.62,59.44,53.94,normal
cao,medio,adulto,16.82,47.55,98.31,atencao
gato,unico,adulto,31.31,59.5,60.65,normal
gato,unico,adulto,31.76,43.57,75.26,normal
gato,unico,adulto,33.91,42.59,72.29,normal
cao,pequeno,adulto,32.66,66.63,78.84,normal
gato,unico,filhote,24.42,44.09,19.36,normal
gato,unico,idoso,30.1,34.45,88.85,normal
ave,unico,adulto,39.23,73.44,51.05,atencao
gato,unico,idoso,31.28,38.74,87.97,normal
ave,unico,adulto,39.64,44.04,89.37,atencao
cao,pequeno,idoso,36.19,60.87,92.11,atencao
gato,unico,adulto,22.79,41.37,39.56,normal
cao,grande,filhote,25.93,46.37,67.85,normal
gato,unico,filhote,19.32,56.83,33.65,atencao
ave,unico,adulto,22.52,67.88,17.39,critico
ave,unico,adulto,34.04,45.45,28.21,normal
gato,unico,adulto,21.22,45.09,9.14,atencao
ave,unico,filhote,21.55,48.87,56.52,critico
gato,unico,adulto,33.57,59.39,74.47,normal
cao,pequeno,adulto,32.79,34.63,77.95,normal
gato,unico,adulto,36.29,34.35,14.81,atencao
cao,medio,filhote,25.99,59.36,53.59,normal
ave,unico,idoso,33.52,48.34,49.77,normal
cao,medio,idoso,33.09,64.2,92.06,normal
cao,medio,adulto,29.38,62.33,30.18,normal
gato,unico,filhote,25.03,43.67,69.99,normal
gato,unico,adulto,24.98,35.94,2.98,critico
gato,unico,filhote,30.74,45.99,28.54,normal
gato,unico,adulto,22.75,24.87,62.97,normal
cao,medio,adulto,33.99,53.46,64.46,normal
ave,unico,adulto,35.63,64.94,47.56,normal
ave,unico,adulto,31.6,56.54,59.58,normal
gato,unico,adulto,27.24,46.52,31.94,atencao
ave,unico,adulto,30.77,42.53,72.43,normal
cao,medio,adulto,15.28,20.41,31.53,atencao
cao,grande,adulto,23.03,72.21,47.35,atencao
ave,unico,adulto,21.16,69.71,60.82,atencao
cao,medio,filhote,24.26,60.62,17.81,atencao
gato,unico,adulto,21.56,52.82,64.43,normal
cao,grande,idoso,30.24,41.17,60.74,atencao
cao,medio,adulto,24.24,33.24,90.75,normal
cao,grande,filhote,30.42,43.25,71.72,normal
ave,unico,adulto,27.82,71.16,21.72,normal
cao,pequeno,idoso,21.17,50.07,70.57,normal
gato,unico,idoso,27.94,34.85,43.51,normal
ave,unico,filhote,31.99,49.07,92.51,normal
cao,grande,adulto,42.6,46.95,15.13,critico
gato,unico,idoso,32.49,48.12,57.92,normal
cao,grande,adulto,25.27,66.38,67.67,normal
cao,pequeno,adulto,17.15,42.49,79.38,atencao
gato,unico,adulto,31.15,86.82,82.48,critico
ave,unico,adulto,38.17,61.81,31.12,critico
ave,unico,filhote,35.63,67.76,64.41,normal
ave,unico,adulto,25.72,54.07,78.79,normal
cao,grande,filhote,26.87,58.46,54.61,normal
cao,medio,filhote,29.22,83.06,44.88,critico
cao,pequeno,adulto,21.69,74.38,21.23,atencao
gato,unico,idoso,26.79,40.35,97.3,normal
gato,unico,adulto,30.01,68.29,51.3,normal
gato,unico,adulto,26.65,65.92,59.63,normal
gato,unico,adulto,29.9,40.09,52.97,normal
cao,grande,adulto,21.85,38.24,25.07,normal
cao,medio,filhote,33.93,45.17,52.96,atencao
gato,unico,adulto,25.43,35.53,77.74,normal
gato,unico,adulto,32.0,79.0,77.16,atencao
gato,unico,adulto,30.78,69.02,63.75,normal
cao,grande,idoso,25.48,55.05,34.24,normal
gato,unico,adulto,32.56,34.78,8.28,atencao
gato,unico,idoso,30.76,53.31,50.06,normal
ave,unico,idoso,31.68,68.05,61.18,normal
gato,unico,filhote,20.42,35.86,46.97,atencao
gato,unico,adulto,29.53,40.96,85.35,normal
cao,grande,idoso,30.56,59.83,37.82,normal
cao,pequeno,adulto,22.11,41.46,63.86,normal
gato,unico,idoso,29.95,61.44,75.65,normal
cao,grande,adulto,33.93,59.55,47.97,normal
gato,unico,adulto,23.71,57.85,31.39,normal
cao,medio,filhote,22.31,51.1,87.41,normal
ave,unico,adulto,26.42,67.72,87.75,normal
cao,grande,adulto,12.82,72.62,78.06,critico
gato,unico,adulto,29.96,65.93,64.53,normal
gato,unico,adulto,21.74,34.86,76.3,normal
cao,pequeno,adulto,22.76,43.14,61.54,normal
cao,grande,idoso,21.44,41.46,58.2,normal
ave,unico,adulto,28.91,44.77,82.32,normal
gato,unico,idoso,15.83,39.32,6.88,critico
cao,grande,adulto,26.54,56.33,4.38,critico
gato,unico,adulto,23.87,52.33,44.5,normal
gato,unico,idoso,32.15,64.37,59.02,normal
gato,unico,idoso,24.95,58.06,20.67,normal
cao,pequeno,adulto,27.12,43.45,94.04,normal
ave,unico,adulto,25.17,59.35,83.14,normal
cao,grande,adulto,35.97,56.91,15.06,atencao
cao,medio,adulto,22.69,18.55,61.26,atencao
ave,unico,idoso,25.13,64.94,68.05,atencao
ave,unico,adulto,36.84,44.0,51.6,normal
cao,pequeno,idoso,15.72,35.11,70.13,critico
gato,unico,filhote,22.47,34.24,6.5,critico
cao,pequeno,adulto,32.51,34.72,28.39,normal
cao,grande,filhote,26.71,61.7,47.93,normal
cao,grande,adulto,26.33,31.6,58.68,normal
ave,unico,adulto,33.09,59.98,56.61,normal
gato,unico,filhote,38.59,63.08,36.7,atencao
gato,unico,filhote,20.06,65.85,97.54,atencao
gato,unico,adulto,32.11,54.03,74.57,normal
gato,unico,adulto,23.99,55.23,53.73,normal
ave,unico,adulto,31.75,66.52,53.32,normal
cao,medio,filhote,25.18,64.44,33.38,normal
cao,grande,idoso,27.32,64.04,72.5,normal
cao,pequeno,adulto,35.19,42.7,41.52,atencao
gato,unico,filhote,27.18,36.48,79.56,normal
gato,unico,adulto,32.69,59.74,60.29,normal
